,Importance,Std
FONDKAPREMONT_MODE_not specified,0.0003927910268686539,0.00018196073858416407
FONDKAPREMONT_MODE_org spec account,0.00027984479071277104,0.00014784851355214892
FONDKAPREMONT_MODE_reg oper account,0.0009051987470473078,0.0002821891261464862
FONDKAPREMONT_MODE_reg oper spec account,0.0004519726802582377,0.00019160690197774077
HOUSETYPE_MODE_block of flats,0.0008855627051422205,0.00026869935217623095
HOUSETYPE_MODE_specific housing,0.0002473924371036247,0.00015009042131746482
HOUSETYPE_MODE_terraced house,0.000181590634476375,0.00011434555893311074
WALLSMATERIAL_MODE_Block,0.0004980967015898951,0.0002041178503421367
WALLSMATERIAL_MODE_Mixed,0.00022045653708651123,0.00012066856549964919
WALLSMATERIAL_MODE_Monolithic,9.887995740010138e-05,8.58696840935975e-05
WALLSMATERIAL_MODE_Others,0.0002841183873155484,0.00013706867475416482
WALLSMATERIAL_MODE_Panel,0.0009458644881368947,0.0002752459169643846
"WALLSMATERIAL_MODE_Stone, brick",0.001163442253906973,0.00027823359464507804
WALLSMATERIAL_MODE_Wooden,0.0004343456134450873,0.00018992283076928518
EMERGENCYSTATE_MODE_No,0.0009656990547876164,0.00035717621446667685
EMERGENCYSTATE_MODE_Yes,0.0003161850979309053,0.00018112152076643187
Active,0.00859470431749469,0.0010629531850326673
Bad debt,6.695988884537813e-06,2.4525233209946844e-05
Closed,0.008515900609456617,0.0009435304164117771
Sold,0.0005542251808796849,0.00023059091303335975
currency 1,0.009817998739986357,0.0008987701940413394
currency 2,0.0001410067005953426,0.0001108841480758316
currency 3,5.569711003675384e-05,6.72403528143704e-05
currency 4,0.0,0.0
DAYS_CREDIT_YRS_Active,0.016223586179635784,0.001465494983800232
DAYS_CREDIT_YRS_Bad debt,1.0019363005739539e-05,2.9069768050692045e-05
DAYS_CREDIT_YRS_Closed,0.01589443169713566,0.0024735056994764923
DAYS_CREDIT_YRS_Sold,0.0009980842399144678,0.0003193219064001423
DAYS_CREDIT_ENDDATE_YRS_Active,0.016644574568785396,0.0014885678931198271
DAYS_CREDIT_ENDDATE_YRS_Bad debt,5.043237152233127e-06,2.3184232067499705e-05
DAYS_CREDIT_ENDDATE_YRS_Closed,0.0155320458064917,0.0014828952765398
DAYS_CREDIT_ENDDATE_YRS_Sold,0.0011292188393543078,0.0003340253491858382
DAYS_ENDDATE_FACT_YRS_Active,0.0003244451439453376,0.00015843267718970177
DAYS_ENDDATE_FACT_YRS_Bad debt,5.3484384226098825e-06,2.5887615325271796e-05
DAYS_ENDDATE_FACT_YRS_Closed,0.015409893850225218,0.0021392962100175127
DAYS_ENDDATE_FACT_YRS_Sold,0.00045375092552646476,0.00023118808457685063
CREDIT_DAY_OVERDUE_YRS,0.0010638045930574022,0.0003009610753266226
AMT_CREDIT_MAX_OVERDUE,0.008853756710487878,0.0009584928830054146
CNT_CREDIT_PROLONG,0.0009641372380748062,0.0002455668676144512
AMT_CREDIT_SUM_Active,0.014950123070384817,0.001197036104526796
AMT_CREDIT_SUM_Bad debt,1.0060026770343494e-05,2.9284882761634942e-05
AMT_CREDIT_SUM_Closed,0.01581917728965805,0.001817514066911874
AMT_CREDIT_SUM_Sold,0.0009870349698432963,0.0003110833661079223
AMT_CREDIT_SUM_DEBT_Active,0.014614187789536291,0.0014560031043957752
AMT_CREDIT_SUM_DEBT_Bad debt,2.740351231386187e-06,1.5288787845916466e-05
AMT_CREDIT_SUM_DEBT_Closed,0.0015366928843309044,0.0004208171030418672
AMT_CREDIT_SUM_DEBT_Sold,7.752629529449994e-05,8.784276500184676e-05
AMT_CREDIT_SUM_LIMIT_Active,0.0056437133361652795,0.0007960754467665146
AMT_CREDIT_SUM_LIMIT_Bad debt,7.5840933239521256e-06,3.297257980741336e-05
AMT_CREDIT_SUM_LIMIT_Closed,0.000683922610606261,0.0002558307173035362
AMT_CREDIT_SUM_LIMIT_Sold,7.215515817480425e-06,2.7381135499867265e-05
AMT_CREDIT_SUM_OVERDUE_Active,0.0014923260997180105,0.0004906789794787797
AMT_CREDIT_SUM_OVERDUE_Bad debt,4.776341816049592e-06,2.5485873660693328e-05
AMT_CREDIT_SUM_OVERDUE_Closed,0.00013532387862303432,0.00012410562178800344
AMT_CREDIT_SUM_OVERDUE_Sold,0.0,0.0
Another type of loan,0.00015863410094957175,0.00012811160357782038
Car loan,0.0011919918502247687,0.0003195362272752059
Cash loan (non-earmarked),1.2534811288182607e-05,3.644518099574638e-05
Consumer credit,0.009134360986839484,0.0008587519979255443
Credit card,0.006887012192094913,0.0007310176701223459
Interbank credit,0.0,0.0
Loan for business development,0.00024574731301543545,0.00015171563312845555
Loan for purchase of shares (margin lending),0.0,0.0
Loan for the purchase of equipment,1.894755407254219e-05,5.3338269458340775e-05
Loan for working capital replenishment,0.0001227011034814947,0.00011238767400430592
Microloan,0.0018831664227089873,0.0006197092470413825
Mobile operator loan,0.0,0.0
Mortgage,0.0007670817670455813,0.0002497638512119328
Real estate loan,1.9445291117312355e-07,2.7430958783966737e-06
Unknown type of loan,0.0001396941885995775,0.00010770930455763365
DAYS_CREDIT_UPDATE_YRS,0.01938193679950514,0.003255318020104735
AMT_ANNUITY_bureau,0.0068794219588853645,0.0006956221431752072
